date,actual,ensemble_pred,fold,TrendAgent_pred,MomentumAgent_pred,VolatilityAgent_pred,SequenceAgent_pred,TrendAgent_weight,MomentumAgent_weight,VolatilityAgent_weight,SequenceAgent_weight
2013-02-11,-0.0001973500290182,0.0011886537628304017,0,0.0009086946725136749,0.002602910390123725,0.0007031683344393969,0.0005398416542448103,0.28550941971297783,0.08015017700736908,0.3090295813037328,0.3253108219759203
2013-02-12,0.0016461543108119,0.00047550754029504797,0,0.0008961093154606935,-0.00010579269292065874,0.00016422277258243412,0.0005452923360280693,0.36157344002420116,0.04979615708442519,0.24605211575225697,0.3425782871391166
2013-02-13,0.0008542965715579,0.0005584141738618796,0,0.0008871840649977864,0.003108446253463626,-0.0004238686815369874,0.0005462607950903475,0.4212234943341933,0.013051078926883586,0.17747402454268127,0.38825140219624193
2013-02-14,0.0009198707452461,0.0006580009948434272,0,0.000881879960547559,0.0003378187248017639,0.00038152647903189063,0.0005522517021745443,0.5373478591777464,0.006893880767096362,0.10654654852559091,0.3492117115295663
2013-02-15,-0.0011827020882282,0.000992893535646518,0,0.000880135159608988,0.0008617973071523011,0.0029947469010949135,0.0005582107114605606,0.5556125969385626,0.007165437629191457,0.04422745783549731,0.39299450759674853
2013-02-19,0.0074664501317939,0.0007214134121054253,0,0.0009087098277046822,-0.0021455527748912573,9.476269042352214e-05,0.0005794113967567682,0.5674585700585542,0.004825407913817583,0.04105169453039538,0.3866643274972329
2013-02-20,-0.0125415910202748,0.000766339809058338,0,0.0009230618952501949,-0.0009635930764488876,0.0009867885382845998,0.0005345225799828768,0.5603861019961185,0.005487792727884709,0.04033221536449154,0.39379388991150527
2013-02-21,-0.0060972591684735,0.0008077546862106918,0,0.000940147606332883,0.0011722490889951587,0.0006453113164752722,0.000630911614280194,0.5497764022569517,0.005201873681451961,0.0412691816620671,0.4037525423995293
2013-02-22,0.0097250855601169,0.0009022899101546957,0,0.0009597602194810022,0.0014234681148082018,0.0020024708937853575,0.0007048657862469554,0.5536597464493171,0.005535909175025367,0.04685532566994173,0.39394901870571586
2013-02-25,-0.0192105356917812,0.0010113792773179544,0,0.0010327588087604813,0.002179209142923355,0.0037513463757932186,0.0006390365888364613,0.55312832720778,0.005243152339268925,0.041048824939316005,0.40057969551363504
2013-02-26,0.0068223100602801,0.0009578401677450817,0,0.0010600847678782577,0.0007452581776306033,0.0015518171712756157,0.0007585743442177773,0.5629789027057064,0.005049173722471716,0.04528506763782475,0.3866868559339971
2013-02-27,0.0125193975835082,0.0008578924796557423,0,0.0010886697619543243,0.001447268296033144,-0.00089022028259933,0.0007189293974079192,0.5735538453224489,0.005291138204603629,0.03885390708459907,0.3823011093883484
2013-02-28,-0.0019763585410814,0.0007220152329649075,0,0.0011182225857174258,-0.003574581816792488,-0.0032559360843151808,0.0005913501372560859,0.4855208044763984,0.008927694512402932,0.07173699725553005,0.4338145037556686
2013-03-01,0.0032925010859119,0.0007076065562471485,0,0.0011484428781265066,0.002078064950183034,-0.0016101541696116328,0.0005692961858585477,0.542592663619587,0.011783536004454868,0.028447199298168704,0.41717660107778926
2013-03-04,0.0053112100022979,0.0008172403869377333,0,0.001241319024655536,-0.00020093363127671182,-0.00282460218295455,0.0005427665892057121,0.5730524924746887,0.010154399181671141,0.01447168046677996,0.4023214278768602
2013-03-05,0.0089178760568338,0.0008544559125155531,0,0.0012710780778377262,0.0017539721447974443,-0.006570758763700724,0.0005054188659414649,0.5913064316460275,0.010840442153423719,0.00630016234326971,0.391552963857279
2013-03-06,0.001360773809366,0.0009182965639792154,0,0.0012999215594782952,0.0004364663327578455,-0.004536074120551348,0.00044308463111519814,0.6055072219299062,0.010594880712930094,0.0009586218325611207,0.3829392755246026
